y,f0_
2002,134
2003,141
2004,145
2005,153
2006,182
2007,244
2008,300
2009,455
2010,1122
2011,2886
2012,3498
2013,5086
2014,6689
2015,8736
2016,6991
2017,7003
2018,2304
