y,f0_
1997,3
1998,3
1999,3
2000,9
2001,4
2002,4
2003,4
2004,4
2005,4
2006,6
2007,16
2008,19
2009,22
2010,23
2011,36
2012,69
2013,125
2014,288
2015,920
2016,2502
2017,5133
2018,1644
