y,f0_
1986,8
1991,8
1993,8
2001,615
2000,385
1997,66
1992,8
1995,40
1996,56
2002,745
2068,2
2016,26939
1974,1
1987,8
1985,8
2038,1
1990,8
2030,2
2025,1
2015,31567
1988,9
2010,7256
2011,9260
1998,81
1989,8
2013,17440
1994,39
2006,2365
2009,5464
1999,138
2028,44
2007,2720
1970,34
1980,4
2008,3455
2004,1049
2014,24187
2018,10615
2003,899
2012,12113
2017,26813
2005,1778
