D_mth,cnt
47,180656
9,168080
24,158552
49,191144
17,151394
38,167469
39,170820
2,137972
4,153396
6,159802
32,160942
35,170066
46,185686
30,160549
29,162532
8,166174
22,169625
42,166884
45,176366
52,164417
53,117742
1,9591
21,170798
37,163254
34,159836
27,161798
15,162768
28,162436
36,167001
11,168359
50,179721
44,174766
51,184588
7,165313
43,172808
23,152266
3,152612
41,168597
25,166556
16,160841
48,168753
12,164346
26,168922
40,167445
5,157148
33,161331
14,165391
19,161593
18,152605
31,164641
13,167195
10,165064
20,161172
