D_mth,cnt
15,310921
27,289233
5,290548
32,360994
6,297950
4,286586
13,304768
21,301684
10,306758
20,296647
3,280938
41,598410
11,317296
36,369262
28,312894
26,310422
24,298377
9,307304
47,428452
2,275856
38,372123
46,425039
16,317040
25,304613
48,395414
51,417198
50,433971
44,410126
17,303388
49,466532
34,373834
37,389059
42,465421
22,298491
52,281729
1,162263
45,421525
53,131975
33,357537
14,297343
43,413827
40,450976
19,294335
18,291534
35,365130
12,307528
7,290840
30,350524
8,311283
29,342996
31,354884
23,306956
39,377476
