D_mth,cnt
32,526865
4,460516
6,472291
39,558075
21,534339
27,481684
15,507706
40,561253
7,509656
38,564571
26,505369
35,550763
17,507867
49,615066
43,597264
45,591487
1,196588
53,256599
52,408150
24,506126
9,506985
47,625702
34,558326
37,559038
51,588339
18,510596
19,517819
11,510568
28,510465
36,659088
13,522529
5,493661
8,505964
29,504793
23,508711
20,526733
10,521416
48,580552
16,511300
25,505547
2,435055
44,602117
50,625144
30,513303
41,562322
3,453115
33,541808
14,505527
12,517898
31,525769
22,514211
42,570378
46,601405
