D_mth,cnt
38,737230
37,714277
34,750432
23,712636
26,687517
18,800964
19,715550
40,724652
31,707598
8,676678
29,697799
11,726761
28,693747
36,704960
43,761413
53,409743
45,771023
1,178517
52,577844
51,751193
15,728865
27,656481
2,590205
42,743393
22,686844
49,792347
17,720065
14,692621
33,693237
5,659626
30,697617
39,749131
35,720579
12,728449
7,679676
13,729323
21,715103
6,669949
4,638976
32,681499
41,718976
3,633293
50,789477
44,760075
10,806934
20,718635
16,708662
48,727059
25,716447
9,722887
47,781421
24,706053
46,776682
