D_mth,cnt
37,239401
34,230418
51,246330
43,235753
49,251870
17,216371
35,227321
30,221289
53,49450
45,245799
1,169170
52,160520
19,220284
18,207271
13,215721
7,212471
12,223112
40,241322
47,229540
9,223835
24,214388
3,192438
41,249594
21,218114
33,222145
14,205924
31,220669
26,219183
50,267131
44,237764
38,234552
5,234897
23,212765
8,220369
29,218238
16,211908
48,252466
25,210784
27,207138
15,206542
22,207645
42,240158
2,193269
39,235546
20,211215
10,221993
28,227088
11,221020
36,222008
6,211639
4,202812
32,219985
46,249099
