D_mth,cnt
40,73618
19,66739
18,63526
34,75073
37,77811
31,76154
23,71633
42,80375
22,69329
27,69204
15,93091
51,85053
35,79341
7,68209
32,74844
4,64887
6,68011
12,69474
21,74397
49,85500
17,71745
39,77508
44,81126
50,86489
30,75032
33,73092
14,70992
1,39475
52,60251
45,81541
53,37390
13,69495
46,84826
20,68335
10,73481
3,65928
41,78006
11,72346
36,76191
28,75361
43,80613
24,72021
47,86966
9,70368
38,75391
26,71864
2,63624
5,70511
25,73183
16,73106
48,79030
29,73061
8,67971
