D_mth,cnt
39,759411
40,743984
27,710893
15,795913
47,532577
9,837714
24,776122
21,778679
13,857890
48,545928
25,752522
16,818790
31,734633
5,790893
38,745421
46,582530
49,517850
17,830354
22,776265
42,775920
30,761113
14,828687
33,709639
10,853835
20,801265
11,848278
36,715632
28,723213
37,738683
34,709293
43,780615
7,839720
51,468652
35,719036
12,861194
29,737390
8,849130
19,820228
18,801338
3,802705
41,777449
23,781963
2,801026
45,620339
52,353622
1,701654
53,40790
26,732357
44,707587
50,500225
6,830471
4,790953
32,729069
