D_mth,cnt
40,139039
5,122939
9,135640
47,143275
24,124989
11,127371
28,117044
36,136288
8,126890
29,121128
16,121846
25,123252
48,136292
18,123877
19,121984
10,135262
20,129220
1,19841
52,121922
45,141477
53,87632
46,141683
31,132037
50,140074
44,145089
23,122389
13,126293
6,125634
32,129476
4,119830
7,130091
34,143292
37,134597
38,138058
21,132927
35,139759
51,140674
43,145903
30,131045
26,122614
2,114260
39,137353
33,135460
14,121531
17,122971
49,147159
42,139259
22,129580
3,126058
41,138987
15,120660
27,119256
12,126280
