D_mth,cnt
20,97801
10,103314
12,102161
50,114066
44,110410
46,115118
13,103559
43,111019
37,106332
34,105008
7,97416
48,106378
25,104773
16,94520
2,91750
30,101603
51,113825
38,107047
31,100731
41,109665
3,91717
22,95427
42,109600
47,117285
24,100435
9,103049
39,107232
28,99425
36,107010
11,100675
5,96869
35,108698
29,98825
8,101049
15,96520
27,95303
19,97482
18,96125
33,106351
14,104249
6,95118
4,93615
32,100940
23,98786
52,84804
53,66436
45,113438
1,25246
26,106389
49,118933
17,98516
21,98902
40,109700
